name,description,level,character_class,subclass,is_choice,uses,source,source_file
Magic Item Savant,"At 14th level, your skill with magic items deepens more:

• You can attune to up to five magic items at once.

• You ignore all class, race, spell and level requirements on attuning to or using a magic item.",14,Artificer,,False,,,artificer_features.json
Magic Item Master,"Starting at 18th level, you can attune up to six magic items at once.",18,Artificer,,False,,,artificer_features.json
Soul of Artifice,"At 20th level, you develop a mystical connection to your magic items, which you can draw on for protection:

• You gain a +1 bonus to all saving throws per magic item you are currently attuned to.

• If you're reduced to 0 hit points but not killed out-right, you can use your reaction to end one of your artificer infusions, causing you to drop to 1 hit point instead of 0.",20,Artificer,,False,,,artificer_features.json
Arcane Propulsion Armor,"Prerequisite: 14th-level artificer Item: A suit of armor (requires attunement)

The wearer of this armor gains these benefits:

• The wearer's walking speed increases by 5 feet.

• The armor includes gauntlets, each of which is a magic melee weapon that can be wielded only when the hand is holding nothing. The wearer is proficient with the gauntlets, and each one deals 1d8 force damage on a hit and has the thrown property, with a normal range of 20 feet and a long range of 60 feet. When thrown, the gauntlet detaches and flies at the attack's target, then immediately returns to the wearer and reattaches.

• The armor can't be removed against the wearer's will.

• If the wearer is missing any limbs, the armor replaces those limbs - hands, arms, feet, legs, or similar appendages. The replacements function identically to the body parts they replace.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Armor of Magical Strength,"Item: A suit of armor (requires attunement)

This armor has 6 charges. The wearer can expend the armor's charges in the following ways:

• When the wearer makes a Strength check or a Strength saving throw, it can expend 1 charge to add a bonus to the roll equal to its Intelligence modifier.

• If the creature would be knocked prone, it can use its reaction to expend 1 charge to avoid being knocked prone.

The armor regains 1d6 expended charges daily at dawn.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Armor of Tools (UA),"Item: A suit of armor

As an action, a creature wearing this infused armor can integrate into it artisan’s tools or thieves’ tools. The tools remain integrated in the armor for 8 hours or until the wearer removes the tools as an action. The armor can have only one tool integrated at a time. The wearer can add its Intelligence modifier to any ability checks it makes with the integrated tool. The wearer must have a hand free to use the tool.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Boots of the Winding Path,"Prerequisite: 6th-level artificer Item: A pair of boots (requires attunement)

While wearing these boots, a creature can teleport up to 15 feet as a bonus action to an unoccupied space the creature can see. The creature must have occupied that space at some point during the current turn.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Enhanced Arcane Focus,"Item: A rod, staff or wand (requires attunement)

While holding this item, a creature gains +1 bonus to spell attack rolls. In addition, the creature ignores half cover when making a spell attack.

The bonus increases to +2 when you reach 10th level in this class.",10,Artificer,Artificer Infusions,False,,,artificer_features.json
Enhanced Defense,"Item: A suit of armor or a shield

A creature gains a +1 bonus to Armor Class while wearing (armor) or wielding (shield) the infused item.

The bonus increases to +2 when you reach 10th level in this class.",10,Artificer,Artificer Infusions,False,,,artificer_features.json
Enhanced Weapon,"Item: A simple or martial weapon

This magic weapon grants a +1 bonus to attack and damage rolls made with it.

The bonus increases to +2 when you reach 10th level in this class.",10,Artificer,Artificer Infusions,False,,,artificer_features.json
Helm of Awareness,"Prerequisite: 10th-level artificer Item: A helmet (requires attunement)

While wearing this helmet, a creature has advantage on initiative rolls. In addition, the wearer can’t be surprised, provided it isn’t incapacitated.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Homunculus Servant,"Item: A gem or crystal worth at least 100 gp

You learn intricate methods for magically creating a special homunculus that serves you. The item you infuse serves as the creature's heart, around which the creature's body instantly forms.

You determine the homunculus's appearance. Some artificers prefer mechanical-looking birds, whereas some like winged vials or miniature, animate cauldrons.

The homunculus is friendly to you and your companions, and it obeys your commands. See this creature's game statistics in the Homunculus Servant stat block, which uses your proficiency bonus (PB) in several places.

In combat, the homunculus shares your initiative count, but it takes its turn immediately after yours. It can move and use its reaction on its own, but the only action it takes on its turn is the Dodge action, unless you take a bonus action on your turn to command it to take another action. That action can be one in its stat block or some other action. If you are incapacitated, the homunculus can take any action of its choice, not just Dodge.

The homunculus regains 2d6 hit points if the mending spell is cast on it. If you or the homunculus dies, it vanishes, leaving its heart in its space.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Mind Sharpener,"Item: A suit of armor or robes

The infused item can send a jolt to the wearer to refocus their mind. The item has 4 charges. When the wearer fails a Constitution saving throw to maintain concentration on a spell, the wearer can use its reaction to expend 1 of the item's charges to succeed instead. The item regains 1d4 expended charges daily at dawn.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Radiant Weapon,"Prerequisite: 6th-level artificer Item: A simple or martial weapon (requires attunement)

This magic weapon grants a +1 bonus to attack and damage rolls made with it. While holding it, the wielder can take a bonus action to cause it to shed bright light in a 30-foot radius and dim light for an additional 30 feet. The wielder can extinguish the light as a bonus action.

The weapon has 4 charges. As a reaction immediately after being hit by an attack, the wielder can expend 1 charge and cause the attacker to be blinded until the end of the attacker's next turn, unless the attacker succeeds on a Constitution saving throw against your spell save DC. The weapon regains 1d4 expended charges daily at dawn.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Repeating Shot,"Item: A simple or martial weapon with the ammunition property (requires attunement)

This magic weapon grants a +1 bonus to attack and damage rolls made with it when it's used to make a ranged attack, and it ignores the loading property if it has it.

If the weapon lacks ammunition, it produces its own, automatically creating one piece of magic ammunition when the wielder makes a ranged attack with it. The ammunition created by the weapon vanishes the instant after it hits or misses a target.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Replicate Magic Item,"Using this infusion, you replicate a particular magic item. You can learn this infusion multiple times; each time you do so, choose a magic item that you can make with it, picking from the Replicable Items tables. A table's title tells you the level you must be in the class to choose an item from the table. Alternatively, you can choose the magic item from among the common magic items in the game, not including potions or scrolls.

In the tables, an item's entry tells you whether the item requires attunement. See the item's description in the Dungeon Master's Guide for more information about it, including the type of object required for its making.

If you have Xanathar's Guide to Everything, you can choose from among the common magic items in that book when you pick a magic item you can replicate with this infusion.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Repulsion Shield,"Prerequisite: 6th-level artificer Item: A shield (requires attunement)

A creature gains a +1 bonus to Armor Class while wielding this shield.

The shield has 4 charges. While holding it, the wielder can use a reaction immediately after being hit by a melee attack to expend 1 of the shield's charges and push the attacker up to 15 feet away. The shield regains 1d4 expended charges daily at dawn.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Resistant Armor,"Prerequisite: 6th-level artificer Item: A suit of armor (requires attunement)

While wearing this armor, a creature has resistance to one of the following damage types, which you choose when you infuse the item: acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, or thunder.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Returning Weapon,"Item: A simple or martial weapon with the thrown property

This magic weapon grants a +1 bonus to attack and damage rolls made with it, and it returns to the wielder’s hand immediately after it is used to make a ranged attack.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Spell-Refueling Ring,"Prerequisite: 6th-level artificer Item: A ring (requires attunement)

While wearing this ring, the creature can recover one expended spell slot as an action. The recovered slot can be of 3rd level or lower. Once used, the ring can't be used again until the next dawn.",3,Artificer,Artificer Infusions,False,,,artificer_features.json
Tool Proficiency,"When you adopt this specialization at 3rd level, you gain proficiency with alchemist's supplies. If you already have this proficiency, you gain proficiency with one other type of artisan's tools of your choice.",3,Artificer,Alchemist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Alchemist Spells,"Starting at 3rd level, you always have certain spells prepared after you reach particular levels in this class, as shown in the Alchemist Spells table. These spells count as artificer spells for you, but they don’t count against the number of artificer spells you prepare.",3,Artificer,Alchemist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Experimental Elixir,"Beginning at 3rd level, whenever you finish a long rest, you can magically produce an experimental elixir in an empty flask you touch. Roll on the Experimental Elixir table for the elixir's effect, which is triggered when someone drinks the elixir. As an action, a creature can drink the elixir or administer it to an incapacitated creature.

You can create additional experimental elixirs by expending a spell slot of 1st level or higher for each one. When you do so, you use your action to create the elixir in an empty flask you touch, and you choose the elixir's effect from the Experimental Elixir table.

Creating an experimental elixir requires you to have alchemist supplies on your person, and any elixir you create with this feature lasts until it is drunk or until the end of your next long rest.

When you reach certain levels in this class, you can make more elixirs at the end of a long rest: two at 6th level and three at 15th level. Roll for each elixir's effect separately. Each elixir requires its own flask.",3,Artificer,Alchemist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Alchemical Savant,"At 5th level, you've developed masterful command of magical chemicals, enhancing the healing and damage you create through them. Whenever you cast a spell using your alchemist's supplies as the spellcasting focus, you gain a bonus to one roll of the spell. That roll must restore hit points or be a damage roll that deals acid, fire, necrotic, or poison damage, and the bonus equals your Intelligence modifier (minimum of +1).",5,Artificer,Alchemist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Restorative Reagents,"Starting at 9th level, you can incorporate restorative reagents into some of your works:

• Whenever a creature drinks an experimental elixir you created, the creature gains temporary hit points equal to 2d6 + your Intelligence modifier (minimum of 1 temporary hit point).

• You can cast Lesser Restoration without expending a spell slot and without preparing the spell, provided you use alchemist's supplies as the spellcasting focus. You can do so a number of times equal to your Intelligence modifier (minimum of once), and you regain all expended uses when you finish a long rest.",9,Artificer,Alchemist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Chemical Mastery,"By 15th level, you have been exposed to so many chemicals that they pose little risk to you, and you can use them to quickly end certain ailments:

• You gain resistance to acid damage and poison damage, and you are now immune to the poisoned condition.

• You can cast Greater Restoration and Heal without expending a spell slot, without preparing the spell, and without providing the material component, provided you use alchemist’s supplies as the spellcasting focus. Once you cast either spell with this feature, you can't cast that spell with it again until you finish a long rest.",15,Artificer,Alchemist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Tools of the Trade,"When you adopt this specialization at 3rd level, you gain proficiency with heavy armor. You also gain proficiency with smith's tools. If you already have this tool proficiency, you gain proficiency with one other type of artisan's tools of your choice.",3,Artificer,Armorer,False,,Tasha's Cauldron of Everything,artificer_features.json
Armorer Spells,"Starting at 3rd level, you always have certain spells prepared after you reach particular levels in this class, as shown in the Armorer Spells table. These spells count as artificer spells for you, but they don't count against the number of artificer spells you prepare.",3,Artificer,Armorer,False,,Tasha's Cauldron of Everything,artificer_features.json
Arcane Armor,"Beginning at 3rd level, your metallurgical pursuits have led to you making armor a conduit for your magic. As an action, you can turn a suit of armor you are wearing into Arcane Armor, provided you have smith's tools in hand.

You gain the following benefits while wearing this armor:

• If the armor normally has a Strength requirement, the arcane armor lacks this requirement for you.

• You can use the arcane armor as a spellcasting focus for your artificer spells.

• The armor attaches to you and can’t be removed against your will. It also expands to cover your entire body, although you can retract or deploy the helmet as a bonus action. The armor replaces any missing limbs, functioning identically to a body part it is replacing.

• You can doff or don the armor as an action.

The armor continues to be Arcane Armor until you don another suit of armor or you die.",3,Artificer,Armorer,False,,Tasha's Cauldron of Everything,artificer_features.json
Armor Model,"Beginning at 3rd level, you can customize your Arcane Armor. When you do so, choose one of the following armor models: Guardian or Infiltrator. The model you choose gives you special benefits while you wear it.

Each model includes a special weapon. When you attack with that weapon, you can add your Intelligence modifier, instead of Strength or Dexterity, to the attack and damage rolls.

You can change the armor's model whenever you finish a short or long rest, provided you have smith's tools in hand.

Guardian. You design your armor to be in the front line of conflict. It has the following features:

• Thunder Gauntlets. Each of the armor's gauntlets counts as a simple melee weapon while you aren't holding anything in it, and it deals 1d8 thunder damage on a hit. A creature hit by the gauntlet has disadvantage on attack rolls against targets other than you until the start of your next turn, as the armor magically emits a distracting pulse when the creature attacks someone else.

• Defensive Field. As a bonus action, you can gain temporary hit points equal to your level in this class, replacing any temporary hit points you already have. You lose these temporary hit points if you doff the armor. You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.

Infiltrator. You customize your armor for subtle undertakings. It has the following features:

• Lightning Launcher. A gemlike node appears on one of your armored fists or on the chest (your choice). It counts as a simple ranged weapon, with a normal range of 90 feet and a long range of 300 feet, and it deals 1d6 lightning damage on a hit. Once on each of your turns when you hit a creature with it, you can deal an extra 1d6 lightning damage to that target.

• Powered Steps. Your walking speed increases by 5 feet.

• Dampening Field. You have advantage on Dexterity (Stealth) checks. If the armor normally imposes disadvantage on such checks, the advantage and disadvantage cancel each other, as normal.",3,Artificer,Armorer,False,,Tasha's Cauldron of Everything,artificer_features.json
Armor Modifications,"At 9th level, you learn how to use your artificer infusions to specially modify your Arcane Armor. That armor now counts as separate items for the purposes of your Infuse Items feature: armor (the chest piece), boots, helmet, and the armor's special weapon. Each of those items can bear one of your infusions, and the infusions transfer over if you change your armor's model with the Armor Model feature. In addition, the maximum number of items you can infuse at once increases by 2, but those extra items must be part of your Arcane Armor.",9,Artificer,Armorer,False,,Tasha's Cauldron of Everything,artificer_features.json
Perfected Armor,"At 15th level, your Arcane Armor gains additional benefits based on its model, as shown below.

Guardian. When a Huge or smaller creature you can see ends its turn within 30 feet of you, you can use your reaction to magically force it to make a Strength saving throw against your spell save DC. On a failed save, you pull the creature up to 25 feet directly to an unoccupied space. If you pull the target to a space within 5 feet of you, you can make a melee weapon attack against it as part of this reaction.

You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses of it when you finish a long rest.

Infiltrator. Any creature that takes lightning damage from your Lightning Launcher glimmers with magical light until the start of your next turn. The glimmering creature sheds dim light in a 5-foot radius, and it has disadvantage on attack rolls against you, as the light jolts it if it attacks you. In addition, the next attack roll against it has advantage, and if that attack hits, the target takes an extra 1d6 lightning damage.",15,Artificer,Armorer,False,,Tasha's Cauldron of Everything,artificer_features.json
Tool Proficiency,"When you adopt this specialization at 3rd level, you gain proficiency with woodcarver's tools. If you already have this proficiency, you gain proficiency with one other type of artisan's tools of your choice.",3,Artificer,Artillerist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Artillerist Spells,"Starting at 3rd level, you always have certain spells prepared after you reach particular levels in this class, as shown in the Artillerist Spells table. These spells count as artificer spells for you, but they don’t count against the number of artificer spells you prepare.",3,Artificer,Artillerist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Eldritch Cannon,"Also at 3rd level, you've learned how to create a magical cannon. Using woodcarver's tools or smith's tools, you can take an action to magically create a Small or Tiny eldritch cannon in an unoccupied space on a horizontal surface within 5 feet of you. A Small eldritch cannon occupies its space, and a Tiny one can be held in one hand. Once you create a cannon, you can't do so again until you finish a long rest or until you expend a spell slot to create one. You can have only one cannon at a time and can't create one while your cannon is present.

The cannon is a magical object. Regardless of size, the cannon has an AC of 18 and a number of hit points equal to five times your artificer level. It is immune to poison damage and psychic damage. If it is forced to make an ability check or a saving throw, treat all its ability scores as 10 (+0). If the mending spell is cast on it, it regains 2d6 hit points. It disappears if it is reduced to 0 hit points or after 1 hour. You can dismiss it early as an action.

When you create the cannon, you determine its appearance and whether it has legs. You also decide which type it is, choosing from the options on the Eldritch Cannons table. On each of your turns, you can take a bonus action to cause the cannon to activate if you are within 60 feet of it. As part of the same bonus action, you can direct the cannon to walk or climb up to 15 feet to an unoccupied space, provided it has legs.",3,Artificer,Artillerist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Arcane Firearm,"At 5th level, You know how to turn a wand, staff, or rod into an arcane firearm, a conduit for your destructive spells. When you finish a long rest, you can use woodcarver's tools to carve special sigils into a wand, staff, or rod and thereby turn it into your arcane firearm. The sigils disappear from the object if you later carve them on a different item. The sigils otherwise last indefinitely.

You can use your arcane firearm as a spellcasting focus for your artificer spells. When you cast an artificer spell through the firearm, roll a d8, and you gain a bonus to one of the spell's damage rolls equal to the number rolled.",5,Artificer,Artillerist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Explosive Cannon,"Starting at 9th level, every eldritch cannon you create is more destructive:

• The cannon's damage rolls all increase by 1d8.

• As an action, you can command the cannon to detonate if you are within 60 feet of it. Doing so destroys the cannon and forces each creature within 20 feet of it to make a Dexterity saving throw against your spell save DC, taking 3d8 force damage on a failed save or half as much damage on a successful one.",9,Artificer,Artillerist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Fortified Position,"By 15th level, you’re a master at forming well-defended emplacements using Eldritch Cannon:

• You and your allies have half cover while within 10 feet of a cannon you create with Eldritch Cannon, as a result of a shimmering field of magical protection that the cannon emits.

• You can now have two cannons at the same time. You can create two with the same action (but not the same spell slot), and you can activate both of them with the same bonus action. You determine whether the cannons are identical to each other or different. You can't create a third cannon while you have two.",15,Artificer,Artillerist,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Tool Proficiency,"When you adopt this specialization at 3rd level, you gain proficiency with smith's tools. If you already have this proficiency, you gain proficiency with one other type of artisan's tools of your choice.",3,Artificer,Battle Smith,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Battle Smith Spells,"Starting at 3rd level, you always have certain spells prepared after you reach particular levels in this class, as shown in the Battle Smith Spells table. These spells count as artificer spells for you, but they don’t count against the number of artificer spells you prepare.",3,Artificer,Battle Smith,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Battle Ready,"When you reach 3rd level, your combat training and your experiments with magic have paid off in two ways:

• You gain proficiency with martial weapons.

• When you attack with a magic weapon, you can use your Intelligence modifier, instead of Strength or Dexterity modifier, for the attack and damage rolls.",3,Artificer,Battle Smith,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Steel Defender,"By 3rd level, your tinkering has borne you a faithful companion, a steel defender. It's friendly to you and your companions, and it obeys your commands. See its game statistics in the Steel Defender stat block, which uses your proficiency bonus (PB) in several places. You determine the creature's appearance and whether it has two legs or four; your choice has no effect on its game statistics.

In combat, the defender shares your initiative count, but it takes its turn immediately after yours. It can move and use its reaction on its own, but the only action it takes on its turn is the Dodge action, unless you take a bonus action on your turn to command it to take another action. That action can be one in its stat block or some other action. If you are incapacitated, the defender can take any action of its choice, not just Dodge.

If the Mending spell is cast on it, it regains 2d6 hit points. If it has died within the last hour, you can use your smith's tools as an action to revive it, provided you are within 5 feet of it and you expend a spell slot of 1st level or higher. The steel defender returns to life after 1 minute with all its hit points restored.

At the end of a long rest, you can create a new steel defender if you have smith's tools with you. If you already have a defender from this feature, the first one immediately perishes. The defender also perishes if you die.",3,Artificer,Battle Smith,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Arcane Jolt,"At 9th level, you've learned new ways to channel arcane energy to harm or heal. When either you hit a target with a magic weapon attack or your steel defender hits a target, you can channel magical energy through the strike to create one of the following effects:

• The target takes an extra 2d6 force damage.

• Choose one creature or object you can see within 30 feet of the target. Healing energy flows into the chosen recipient, restoring 2d6 hit points to it.

You can use this energy a number of times equal to your Intelligence modifier (minimum of once), but you can do so no more than once on a turn. You regain all expended uses when you finish a long rest.",9,Artificer,Battle Smith,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Improved Defender,"At 15th level, your Arcane Jolt and steel defender become more powerful:

• The extra damage and the healing of your Arcane Jolt both increase to 4d6.

• Your steel defender gains a +2 bonus to Armor Class.

• Whenever your steel defender uses its Deflect Attack, the attacker takes force damage equal to 1d4 + your Intelligence modifier.",15,Artificer,Battle Smith,False,,Tasha's Cauldron of Everything/Eberron: Rising from the Last War,artificer_features.json
Tools of the Trade,"By the time you adopt this specialty at 3rd level, you’re deeply familiar with employing its tools.

Proficiencies. You gain proficiency with calligrapher’s supplies and the forgery kit, assuming you don’t already have them. You also gain calligrapher’s supplies and a forgery kit for free—the result of tinkering you’ve done as you’ve prepared for this specialization.

Crafting. If you craft a magic item in the scroll category, it takes you a quarter of the normal time, and it costs you half as much of the usual gold.",3,Artificer,Archivist (UA),False,,Unearthed Arcana 58 - Artificer,artificer_features.json
Archivist Spells,"Starting at 3rd level, you always have certain spells prepared after you reach particular levels in this class, as shown in the Archivist Spells table. These spells count as artificer spells for you, but they don’t count against the number of artificer spells you prepare.

Archivist Spells",3,Artificer,Archivist (UA),False,,Unearthed Arcana 58 - Artificer,artificer_features.json
